citycode,cityname,statecode,countrycode,latitude,longitude,active,searchorigin,searchdestination,wtforigin,wtfdestination
cit,cityName,st,co,(null),(null),(null),(null),(null),(null),(null)
SJT,San Angelo,TX,US,31.35777777777778,-100.49638888888889,1,16550,15159,142,148
SJU,San Juan,,PR,18.45,-66.0,1,2881825,3454106,10821,8197
SJV,San Javier,,BO,-16.233333333333334,-62.416666666666664,0,0,0,0,0
SJW,Shijiazhuang,,CN,38.28055555555555,114.69722222222222,1,247744,323556,1099,1150
SJX,Sarteneja,,BZ,18.3,-88.33333333333333,0,0,0,0,0
SJY,Seinajoki,,FI,62.69361111111111,22.831944444444446,0,0,0,0,0
SJZ,Sao Jorge Island,,PT,38.66555555555556,-28.175833333333333,1,9710,13715,86,86
SKB,St Kitts,,KN,17.311111111111114,-62.718611111111116,1,56455,74940,236,206
SKC,Suki,,PG,-8.15,141.71666666666667,0,0,0,0,0
SKD,Samarkand,,UZ,39.70055555555556,66.98472222222222,1,328600,763458,166,146
SKE,Skien,,NO,59.184999999999995,9.566944444444443,0,0,0,0,0
SKG,Thessaloniki,,GR,40.51972222222222,22.97083333333333,1,1706276,1448173,3339,3427
SKH,Surkhet,,NP,28.58611111111111,81.63583333333334,1,186,245,1,1
SKI,Skikda,,DZ,36.86944444444445,6.95,0,0,0,0,0
SKK,Shaktoolik,AK,US,64.3611111111111,-161.2025,1,10,5,8,8
SKL,Skye,,GB,57.333333333333336,-6.25,0,0,0,0,0
SKM,Skeldon,,GY,5.877777777777778,-57.175,0,0,0,0,0
SKN,Stokmarknes,,NO,68.58111111111111,15.021111111111113,1,4577,4931,189,186
SKO,Sokoto,,NG,12.91638888888889,5.207222222222223,1,0,0,7,9
SKP,Skopje,,MK,41.961666666666666,21.62138888888889,1,445968,478992,1322,1305
SKQ,Sekake,,LS,-29.966666666666665,28.45,0,0,0,0,0
SKR,Shakiso,,ET,5.6925,38.97666666666667,0,0,0,0,0
SKS,Vojens,,DK,55.233333333333334,9.266666666666667,1,1,0,0,0
SKT,Sialkot,,PK,32.53527777777778,74.36388888888888,1,467250,663561,544,496
SKU,Skyros,,GR,38.968333333333334,24.488055555555558,1,1907,3254,22,21
SKV,St Catherine,,EG,28.683333333333334,34.06666666666667,0,0,0,0,0
SKW,Skwentna,AK,US,61.96472222222223,-151.18805555555556,1,0,0,0,0
SKX,Saransk,,RU,54.12583333333333,45.21333333333334,1,0,0,7,5
SKY,Sandusky,OH,US,41.43333333333333,-82.7,0,0,0,0,0
SKZ,Sukkur,,PK,27.72138888888889,68.79305555555555,1,2578,3094,11,10
SLA,Salta,SA,AR,-24.859722222222224,-65.48694444444445,1,150426,279870,601,646
SLB,Storm Lake,IA,US,42.6,-95.23333333333333,0,0,0,0,0
SLC,Salt Lake City,UT,US,40.788333333333334,-111.97777777777777,1,3178162,2551382,42298,32778
SLD,Sliac,,SK,48.63777777777778,19.134166666666665,0,0,0,0,0
SLE,Salem,OR,US,44.909444444444446,-123.0025,1,22,10,9,9
SLF,Sulayel,,SA,20.466666666666665,45.61666666666667,0,0,0,0,0
SLG,Siloam Springs,AR,US,36.18333333333333,-94.53333333333333,0,0,0,0,0
SLH,Sola,,VU,-13.851944444444444,167.53722222222223,1,25,62,6,8
SLI,Solwezi,,ZM,-12.173888888888888,26.366666666666667,1,864,1207,49,53
SLJ,Solomon,WA,AU,-22.255555555555556,117.76277777777777,0,0,0,0,0
SLK,Saranac Lake,NY,US,44.38527777777778,-74.20611111111111,1,6443,7319,33,34
SLL,Salalah,,OM,17.038611111111113,54.09138888888889,1,216374,205802,524,495
SLM,Salamanca,,ES,40.952222222222225,-5.501944444444445,1,72,38,7,8
SLN,Salina,KS,US,38.79083333333333,-97.65222222222222,1,10420,9066,38,35
SLO,Salem,IL,US,38.61666666666667,-88.93333333333334,0,0,0,0,0
